country,gender,math,read,science
ALB,male,178.528,252.098,290.707
ALB,male,260.467,231.933,175.94
ALB,female,462.789,324.042,477.214
ALB,female,388.315,345.999,330.495
ALB,male,268.398,292.861,348.083
ALB,female,391.094,310.077,371.95
ALB,male,355.927,355.633,460.096
ALB,male,245.961,236.02,273.055
ALB,male,231.472,381.392,306.414
ALB,female,345.407,308.711,377.805
ALB,male,512.663,436.472,486.732
ALB,male,237.869,348.142,301.145
ALB,male,479.139,394.252,341.716
ALB,female,414.383,447.682,347.722
ALB,male,443.906,466.99,452.174
ALB,female,337.455,396.702,372.981
ALB,male,264.635,242.133,275.635
ALB,female,419.762,352.555,437.88
ALB,male,284.169,210.057,408.035
ALB,female,312.989,417.325,435.847
ALB,female,358.562,439.576,342.884
ALB,female,296.227,336.099,315.449
ALB,female,392.062,343.809,354.624
ALB,female,357.295,454.187,342.993
ALB,female,385.126,379.366,549.681
ALB,male,347.803,283.741,341.397
ALB,female,334.276,329.816,371.959
ALB,female,481.552,463.765,375.49
ALB,female,299.498,415.252,317.939
ALB,female,308.356,311.27,302.618
ALB,male,381.139,370.601,351.554
ALB,male,470.297,446.464,516.227
ALB,male,382.001,255.372,425.412
ALB,female,260.17,257.656,240.28
ALB,male,295.026,333.379,316.778
ALB,female,439.341,403.169,521.307
ALB,male,299.724,218.769,253.16
ALB,female,442.683,541.52,418.941
ALB,male,266.533,366.94,217.802
ALB,female,258.727,274.266,262.64
ALB,male,530.845,434.248,530.241
ALB,female,304.907,345.535,379.087
ALB,female,436.654,371.967,418.419
ALB,female,379.677,314.513,430.98
ALB,female,360.89,321.303,419.547
ALB,female,388.211,510.417,436.411
ALB,male,182.583,284.711,273.628
ALB,female,423.438,364.34,328.346
ALB,male,482.385,361.159,454.544
ALB,male,269.435,235.204,340.102
ALB,male,413.757,290.304,339.9
ALB,female,410.401,373.184,359.183
ALB,female,577.002,534.934,547.527
ALB,female,354.917,359.324,396.785
ALB,female,375.541,407.045,343.289
ALB,male,308.296,339.66,268.807
ALB,female,325.706,279.888,429.831
ALB,male,354.687,384.351,285.263
ALB,male,198.278,258.833,287.74
ALB,female,339.367,451.385,354.157
ALB,female,262.655,236.959,319.541
ALB,male,275.157,237.888,304.172
ALB,female,341.205,348.709,258.729
ALB,male,558.247,524.278,583.521
ALB,female,468.687,393.115,499.049
ALB,male,435.692,402.698,459.731
ALB,female,323.124,404.482,369.616
ALB,male,317.078,313.505,333.13
ALB,female,329.183,352.472,433.827
ALB,female,267.484,262.156,286.821
ALB,female,274.594,377.384,380.752
ALB,female,534.937,441.511,513.692
ALB,female,336.357,350.349,332.824
ALB,male,204.493,196.403,327.525
ALB,male,324.24,388.982,329.004
ALB,female,419.052,360.403,360.46
ALB,male,305.626,367.229,232.489
ALB,male,271.816,231.313,260.935
ALB,female,332.13,341.976,361.817
ALB,female,491.858,509.862,407.571
ALB,female,423.643,488.547,427.305
ALB,female,400.22,360.974,359.156
ALB,male,392.14,420.505,394.122
ALB,male,291.521,358.049,383.582
ALB,male,391.446,445.256,382.419
ALB,male,264.626,344.755,361.141
ALB,male,579.417,428.867,505.648
ALB,male,180.81,237.737,115.009
ALB,male,273.393,290.584,287.367
ALB,female,552.399,514.937,571.43
ALB,male,353.911,257.966,356.853
ALB,female,368.596,396.72,370.761
ALB,female,417.968,433.123,474.162
ALB,female,374.352,341.576,429.99
ALB,female,403.41,375.242,360.236
ALB,female,417.275,454.126,426.349
ALB,male,587.419,461.183,470.298
ALB,female,242.612,316.687,312.103
ALB,female,485.758,478.661,461.956
ALB,male,449.316,417.14,490.476
ALB,male,295.117,260.651,234.1
ALB,female,380.172,453.142,294.47
ALB,male,456.281,408.322,490.512
ALB,female,423.983,428.657,369.587
ALB,male,418.268,458.88,433.982
ALB,male,387.921,232.707,357.089
ALB,male,352.202,283.534,340.416
ALB,female,338.659,301.528,309.472
ALB,female,375.472,441.342,333.873
ALB,male,482.43,381.105,490.025
ALB,male,289.652,265.85,310.956
ALB,female,335.713,374.729,317.425
ALB,male,239.079,225.554,320.325
ALB,female,324.257,466.143,362.754
ALB,male,365.732,297.028,314.106
ALB,female,337.154,335.154,353.283
ALB,male,476.139,465.771,458.934
ALB,male,340.659,314.016,340.128
ALB,female,358.371,382.04,409.64
ALB,female,293.224,233.546,374.552
ALB,female,533.995,508.698,557.027
ALB,female,331.304,361.046,342.784
ALB,male,237.054,292.007,148.523
ALB,female,336.477,421.467,398.03
ALB,female,352.743,328.67,320.303
ALB,male,408.841,300.266,402.851
ALB,male,321.872,250.525,388.556
ALB,female,293.992,181.912,190.559
ALB,male,270.815,324.715,284.93
ALB,male,302.529,263.598,343.88
ALB,female,485.083,484.645,456.142
ALB,female,361.247,395.804,356.487
ALB,male,406.63,355.055,339.171
ALB,male,311.052,334.112,294.542
ALB,female,197.066,244.145,197.64
ALB,male,335.338,237.758,335.474
ALB,male,274.273,338.894,336.302
ALB,female,397.276,360.531,367.84
ALB,female,297.531,287.681,378.748
ALB,female,395.917,352.423,440.432
ALB,female,242.87,387.477,346.446
ALB,female,377.401,370.74,387.691
ALB,male,345.108,375.434,345.114
ALB,female,373.27,461.403,397.022
ALB,female,271.719,377.656,301.961
ALB,male,241.806,226.081,275.079
ALB,female,272.502,290.086,310.371
ALB,male,220.471,289.19,368.885
ALB,female,316.232,327.098,365.824
ALB,male,340.62,439.624,388.282
ALB,female,400.773,312.058,344.611
ALB,female,336.414,214.646,206.64
ALB,female,476.917,487.338,444.895
ALB,male,378.037,431.974,334.649
ALB,male,429.363,427.363,354.704
ALB,female,363.03,339.052,417.084
ALB,male,301.07,355.725,378.939
ALB,male,281.673,286.843,282.927
ALB,female,232.666,281.409,296.679
ALB,female,395.733,406.272,391.898
ALB,female,455.687,421.79,401.154
ALB,female,366.308,332.397,292.091
ALB,female,388.9,336.907,376.936
ALB,male,361.465,331.404,334.306
ALB,female,402.526,434.934,420.936
ALB,male,253.122,305.06,290.3
ALB,male,465.978,391.538,471.374
ALB,male,344.439,313.095,395.157
ALB,female,272.338,327.481,351.453
ALB,female,414.71,458.451,436.216
ALB,female,394.259,399.461,367.238
ALB,male,333.328,282.378,302.615
ALB,female,467.63,484.285,363.525
ALB,male,310.044,242.326,282.544
ALB,female,364.098,457.135,435.298
ALB,female,296.977,356.525,382.781
ALB,female,328.525,351.556,393.751
ALB,male,327.257,285.288,208.069
ALB,male,272.08,345.557,314.728
ALB,male,397.003,470.553,457.502
ALB,female,264.012,339.354,359.555
ALB,female,412.767,548.783,474.841
ALB,male,284.34,254.115,254.643
ALB,male,379.644,331.343,393.653
ALB,female,393.323,399.352,482.742
ALB,female,349.887,285.421,362.296
ALB,female,367.725,399.784,346.168
ALB,female,384.413,426.13,383.045
ALB,female,369.564,373.419,346.207
ALB,male,499.264,453.438,463.101
ALB,male,285.963,256.514,230.128
ALB,female,375.314,342.836,362.931
ALB,male,481.079,451.574,562.982
ALB,male,528.316,350.796,397.66
ALB,female,239.981,347.414,343.85
ALB,male,398.26,316.374,335.648
ALB,female,305.374,290.596,371.575
ALB,female,330.19,390.352,296.493
ALB,female,491.465,565.718,497.971
ALB,female,255.634,389.652,354.749
ALB,female,342.41,365.43,309.584
ALB,male,303.926,260.889,297.681
ALB,male,309.415,332.167,259.712
ALB,female,376.313,318.485,488.585
ALB,female,325.001,344.216,406.972
ALB,male,629.954,641.3,575.559
ALB,male,274.893,338.559,368.476
ALB,female,436.428,373.888,499.337
ALB,male,494.093,374.691,468.757
ALB,male,265.595,248.598,301.153
ALB,female,277.261,395.628,278.836
ALB,female,440.067,402.759,458.213
ALB,female,416.554,275.918,349.604
ALB,female,457.095,347.513,428.506
ALB,male,416.699,349.537,418.374
ALB,male,340.536,308.882,384.232
ALB,female,322.01,442.72,369.994
ALB,male,367.801,272.635,300.941
ALB,female,308.882,405.626,446.676
ALB,female,580.339,491.635,561.774
ALB,female,420.819,404.441,454.964
ALB,male,397.731,396.834,368.087
ALB,female,402.198,402.957,506.581
ALB,male,401.711,311.72,387.394
ALB,female,472.344,354.263,450.208
ALB,female,473.953,417.759,454.206
ALB,female,278.001,273.303,223.4
ALB,female,363.716,388.075,457.963
ALB,male,442.888,324.59,384.084
ALB,female,340.442,311.892,346.258
ALB,male,201.168,284.326,211.676
ALB,male,349.522,348.909,442.005
ALB,female,265.134,309.583,317.606
ALB,male,322.986,317.476,318.468
ALB,male,357.108,337.055,373.206
ALB,female,613.181,538.495,364.182
ALB,female,460.894,419.567,505.901
ALB,male,291.812,305.552,342.72
ALB,male,378.41,253.687,390.707
ALB,female,377.924,281.006,380.085
ALB,male,272.923,313.186,316.355
ALB,male,482.713,354.042,425.991
ALB,male,244.219,186.824,286.92
ALB,male,343.1,327.561,376.781
ALB,female,348.874,305.882,325.144
ALB,male,358.814,299.633,359.11
ALB,male,434.584,477.995,500.985
ALB,female,394.31,357.815,415.855
ALB,female,254.203,369.719,302.466
ALB,male,401.781,362.475,454.12
ALB,male,308.414,311.197,314.426
ALB,female,441.202,442.065,538.545
ALB,male,448.11,383.545,452.854
ALB,female,451.54,473.597,428.262
ALB,female,410.762,280.28,367.596
ALB,male,434.202,436.646,267.837
ALB,male,252.224,212.075,236.947
ALB,female,311.891,353.761,342.408
ALB,female,463.407,440.596,490.574
ALB,female,304.645,309.524,280.653
ALB,female,475.289,403.11,489.527
ALB,male,327.85,283.792,297.653
ALB,female,302.203,337.739,282.478
ALB,female,352.394,374.677,263.876
ALB,female,477.26,494.015,494.165
ALB,male,410.817,344.131,448.203
ALB,male,363.205,334.854,418.926
ALB,female,366.914,391.282,381.466
ALB,male,431.399,342.411,383.343
ALB,male,460.024,347.139,353.789
ALB,female,344.226,433.617,378.445
ALB,male,311.738,300.561,307.262
ALB,female,473.863,478.099,486.211
ALB,female,504.87,315.774,417.75
ALB,female,321.109,296.902,290.396
ALB,female,421.571,356.346,431.366
ALB,female,425.729,313.331,313.368
ALB,male,327.672,274.675,354.928
ALB,male,298.207,271.314,334.197
ALB,female,317.552,316.174,379.913
ALB,female,431.479,410.374,377.397
ALB,male,293.991,289.329,335.469
ALB,male,348.902,323.787,281.106
ALB,male,244.618,288.602,300.479
ALB,female,364.748,386.137,414.475
ALB,female,382.83,395.793,491.146
ALB,female,407.471,468.975,477.914
ALB,male,453.156,460.064,440.279
ALB,female,316.723,363.784,391.716
ALB,female,237.74,226.854,411.194
ALB,female,331.93,377.833,395.204
ALB,female,341.672,371.202,389.773
ALB,male,447.969,294.042,391.147
ALB,male,382.383,328.017,338.48
ALB,male,424.111,323.773,422.54
ALB,female,374.414,399.138,414.741
ALB,female,267.739,358.104,257.677
ALB,female,339.296,357.25,311.348
ALB,male,389.316,340.077,379.451
ALB,female,413.093,415.973,424.105
ALB,male,453.248,395.366,374.938
ALB,female,390.765,421.933,445.651
ALB,female,361.258,355.814,334.448
ALB,female,304.001,431.177,359.195
ALB,male,488.108,440.692,407.814
ALB,male,366.784,341.802,357.605
ALB,male,561.598,390.156,438.729
ALB,female,474.733,480.85,399.262
ALB,male,497.927,513.984,489.818
ALB,male,356.375,263.913,402.347
ALB,female,338.547,333.013,355.859
ALB,female,321.4,323.989,308.32
ALB,female,320.647,287.422,268.494
ALB,female,405.04,362.863,308.712
ALB,male,294.977,339.756,318.414
ALB,male,362.932,343.628,384.019
ALB,male,533.624,419.545,399.987
ALB,male,258.596,278.304,313.805
ALB,female,371.018,351.456,330.673
ALB,male,400.675,390.469,359.838
ALB,male,431.254,347.381,512.711
ALB,male,368.041,326.435,291.919
ALB,female,352.485,421.98,355.544
ALB,male,293.134,241.014,352.132
ALB,male,485.863,444.838,382.06
ALB,female,383.041,327.18,337.601
ALB,male,436.208,391.511,388.845
ALB,male,415.758,333.94,459.093
ALB,male,523.574,397.351,438.694
ALB,female,458.365,435.988,465.596
ALB,male,368.734,305.813,384.809
ALB,male,221.359,295.362,279.824
ALB,male,266.549,256.311,305.626
ALB,female,335.017,356.343,418.95
ALB,female,480.822,430.539,502.366
ALB,female,415.498,267.312,384.664
ALB,male,327.604,339.547,371.612
ALB,male,268.032,283.639,284.669
ALB,male,327.178,247.813,349.638
ALB,male,209.772,274.515,254.317
ALB,male,392.628,241.209,258.997
ALB,female,369.296,375.978,467.944
ALB,male,273.334,288.268,306.83
ALB,female,341.5,379.579,363.315
ALB,female,348.795,341.473,347.72
